업종,상호,지번주소,도로명주소
일반음식점,왕십리곱창,서울특별시 중랑구 동일로109길 38 (면목동),서울특별시 중랑구 면목동 184-22 
일반음식점,화성각,서울특별시 중랑구 면목로48길 37 (면목동),서울특별시 중랑구 면목동 455-34 
일반음식점,복래삼겹살,서울특별시 중랑구 사가정로51길 21 (면목동),서울특별시 중랑구 면목동 596-4 
일반음식점,그린필드,서울특별시 중랑구 망우로71길 18 (망우동),서울특별시 중랑구 망우동 341-24 
일반음식점,로얄식당,"서울특별시 중랑구 동일로143길 19 (중화동, 제일프라자 지하16,17호)",서울특별시 중랑구 중화동 307-1 
일반음식점,장수식당,서울특별시 중랑구 동일로 645 (면목동),서울특별시 중랑구 면목동 179-23 
일반음식점,먹골호프집,서울특별시 중랑구 동일로163길 21 (묵동),서울특별시 중랑구 묵동 239-137 
일반음식점,생활맥주 중랑망우점,서울특별시 중랑구 용마산로115길 39 (망우동),서울특별시 중랑구 망우동 469-65 1층 
일반음식점,전주식당,서울특별시 중랑구 사가정로45길 63 (면목동),서울특별시 중랑구 면목동 564-13 
일반음식점,박가네 명동빈대떡,서울특별시 중랑구 겸재로 168 (면목동),서울특별시 중랑구 면목동 117-25 
일반음식점,흥부전놀부전,서울특별시 중랑구 사가정로51길 43 (면목동),서울특별시 중랑구 면목동 572-30 
일반음식점,락원식당,서울특별시 중랑구 중랑역로 114-1 (중화동),서울특별시 중랑구 중화동 307-57 
일반음식점,24시소문난찌개마을,서울특별시 중랑구 중랑역로 84 (중화동),서울특별시 중랑구 중화동 304-55 
일반음식점,까르보네,서울특별시 중랑구 면목로48길 16 (면목동),서울특별시 중랑구 면목동 461-36 
일반음식점,삼순이생고기,"서울특별시 중랑구 동일로149길 15 (묵동, 우성상가 2동 114호)",서울특별시 중랑구 묵동 250-17 
일반음식점,우리식당,서울특별시 중랑구 동일로 833-7 (중화동),서울특별시 중랑구 중화동 307-71 
일반음식점,경원식당,서울특별시 중랑구 면목로 241 (면목동),서울특별시 중랑구 면목동 379-35 
