업종,상호,지번주소,도로명주소
체력단련장업,PND,서울특별시 성동구 성수동1가 656-1661 ,"서울특별시 성동구 성수일로 21, 2층 (성수동1가)"
체력단련장업,스타칼리휘트니스 성수역점,서울특별시 성동구 성수동2가 300-5 남영빌딩 ,"서울특별시 성동구 아차산로 97, 남영빌딩 3층 (성수동2가)"
체력단련장업,퀸 스페셜 PT,서울특별시 성동구 성수동2가 300-65 현진빌딩 ,"서울특별시 성동구 아차산로 91, 현진빌딩 2층 (성수동2가)"
체력단련장업,PT STUDIO RE 'ON,서울특별시 성동구 도선동 21-1 케이 타워 ,"서울특별시 성동구 고산자로 255, 케이 타워 7층 (도선동)"
체력단련장업,뉴바디필라테스&멀티트레이닝센터,서울특별시 성동구 성수동2가 315-73 유원지식산업센터 ,"서울특별시 성동구 성수일로6길 53, 유원지식산업센터 3층 (성수동2가)"
체력단련장업,바나나짐,서울특별시 성동구 금호동1가 128-1 금복빌딩 ,"서울특별시 성동구 행당로 35, 금복빌딩 1층 (금호동1가)"
체력단련장업,더 바디 피트니스,서울특별시 성동구 용답동 232-1 신창비바패밀리 ,"서울특별시 성동구 천호대로 400, B101호 (용답동, 신창비바패밀리)"
체력단련장업,바른피티,서울특별시 성동구 옥수동 365-20 ,"서울특별시 성동구 한림말5길 9, 5층 (옥수동)"
체력단련장업,shut up and squat,서울특별시 성동구 옥수동 262-1 ,"서울특별시 성동구 독서당로 202, B103호 (옥수동)"
체력단련장업,릴리브짐,서울특별시 성동구 하왕십리동 1070 센트라스 ,"서울특별시 성동구 왕십리로 410, I동 101호 102호 (하왕십리동, 센트라스)"
체력단련장업,오프로,서울특별시 성동구 도선동 289 ,"서울특별시 성동구 왕십리로 348, 5층 (도선동)"
체력단련장업,브라보 PT,서울특별시 성동구 하왕십리동 966-68 ,"서울특별시 성동구 왕십리로 339-1, 3층 (하왕십리동)"
체력단련장업,핏바디짐,서울특별시 성동구 성수동2가 317-4 청운재 ,"서울특별시 성동구 연무장11길 15, 청운재 지하1층 (성수동2가)"
체력단련장업,바른핏,서울특별시 성동구 옥수동 323-17 조을빌딩 ,"서울특별시 성동구 독서당로 226, 조을빌딩 2층 (옥수동)"
체력단련장업,모스트짐,서울특별시 성동구 성수동1가 13-441 ,"서울특별시 성동구 상원길 64, 2층 (성수동1가)"
체력단련장업,찬스짐 PT,서울특별시 성동구 하왕십리동 946-15 성동빌딩 ,"서울특별시 성동구 왕십리로 363, 성동빌딩 401호 (하왕십리동)"
체력단련장업,3GYM,서울특별시 성동구 성수동1가 656-945 ,"서울특별시 성동구 왕십리로14길 30-3, 2층 (성수동1가)"
체력단련장업,와츠핏(What's fit),서울특별시 성동구 금호동2가 494 동원빌딩 ,"서울특별시 성동구 금호산길 61, 동원빌딩 301호 (금호동2가)"
체력단련장업,가인,서울특별시 강북구 수유동 381-2 ,서울특별시 강북구 삼양로 424 (수유동)
체력단련장업,현대 휘트니스,서울특별시 강북구 미아동 703-31 ,"서울특별시 강북구 삼양로 181, 지하,2,3층 (미아동)"
체력단련장업,람보,서울특별시 강북구 수유동 93-1 ,서울특별시 강북구 도봉로77길 9  (수유동)
체력단련장업,서울헬스클럽,서울특별시 강북구 수유동 174-5 ,서울특별시 강북구 도봉로 373 (수유동)
체력단련장업,라인짐,서울특별시 강북구 번동 165-4 ,"서울특별시 강북구 한천로109길 53, 3,4,5층 (번동, 유림빌딩)"
체력단련장업,국제헬스클럽,서울특별시 강북구 미아동 131-6 ,서울특별시 강북구 도봉로 144  (미아동)
체력단련장업,업타운 휘트니스,서울특별시 강북구 미아동 58 ,"서울특별시 강북구 도봉로 41-1, 4층 (미아동)"
체력단련장업,M 휘트니스,서울특별시 강북구 미아동 310-4 5층 ,"서울특별시 강북구 도봉로 167, 5층 (미아동)"
체력단련장업,시너짐(SYNER GYM),서울특별시 강북구 수유동 191-35 우성빌딩지하1층 ,"서울특별시 강북구 한천로 1035 (수유동,우성빌딩지하1층)"
체력단련장업,아크로짐,서울특별시 강북구 미아동 838-4 제일은행삼양동지점 ,"서울특별시 강북구 솔샘로 223, 제일은행삼양동지점 5층 (미아동)"
체력단련장업,소울 휘트니스,서울특별시 강북구 미아동 7-5 대지빌딩 4층 ,"서울특별시 강북구 오패산로30길 10 (미아동,대지빌딩 4층)"
체력단련장업,Well-Being,서울특별시 강북구 미아동 52-1 ,서울특별시 강북구 월계로7나길 4 (미아동)
체력단련장업,Double 휘트니스 클럽,서울특별시 강북구 수유동 544-1 ,서울특별시 강북구 인수봉로 293  (수유동)
체력단련장업,노블휘트니스클럽,서울특별시 강북구 수유동 185-1 ,"서울특별시 강북구 한천로 1093 (수유동, 하나은행)"
체력단련장업,범 휘트니스,서울특별시 강북구 수유동 70-4 ,서울특별시 강북구 삼양로 293 (수유동)
체력단련장업,FUN 휘트니스,서울특별시 강북구 미아동 374-13 2층 ,"서울특별시 강북구 솔샘로 327 (미아동,2층)"
체력단련장업,플로리다 피트니스,서울특별시 강북구 미아동 670-28 행전빌딩 4층 ,"서울특별시 강북구 삼양로 161  (미아동,행전빌딩 4층)"
체력단련장업,삼각산 헬스타운,서울특별시 강북구 수유동 340-9 ,서울특별시 강북구 삼양로 441 (수유동)
체력단련장업,에너메카,서울특별시 강북구 미아동 35-4 ,"서울특별시 강북구 도봉로 34, 3층 (미아동)"
체력단련장업,고릴라멀티짐,서울특별시 강북구 번동 418-3 ,"서울특별시 강북구 도봉로 352, B1호 (번동, 효성인텔리안)"
체력단련장업,수유역점 스포애니 주)케이디스포츠,서울특별시 강북구 번동 418-1 코스타타워 ,"서울특별시 강북구 도봉로 358, 코스타타워 12층 (번동)"
체력단련장업,야크짐,서울특별시 강북구 미아동 189-15 지하1층 ,"서울특별시 강북구 도봉로 254 (미아동,지하1층)"
체력단련장업,피트니스팩토리24,서울특별시 강북구 수유동 192-61 영남빌딩,"서울특별시 강북구 한천로139길 42, 4층 (수유동, 영남빌딩)"
체력단련장업,피티하우스,서울특별시 강북구 미아동 836-10 ,"서울특별시 강북구 인수봉로6길 62, 지1층 (미아동)"
체력단련장업,피트니스팩토리24,서울특별시 강북구 미아동 791-683 ,"서울특별시 강북구 솔매로 83, 3층 (미아동, 아이비보습학원)"
체력단련장업,번 휘트니스,서울특별시 강북구 번동 191 기산그린아파트 상가 3층 ,"서울특별시 강북구 월계로37길 129, 3층 (번동, 기산그린아파트 상가)"
체력단련장업,체대입시 FA,서울특별시 강북구 수유동 168-50 ,서울특별시 강북구 도봉로 403 (수유동)
체력단련장업,제이짐,서울특별시 강북구 수유동 279-37,서울특별시 강북구 삼양로 516 (수유동)
체력단련장업,이성현 퍼스널 트레이닝,서울특별시 강북구 미아동 484-4 ,서울특별시 강북구 숭인로 63-1 (미아동)
체력단련장업,피트니스팩토리 24,서울특별시 강북구 미아동 322-1 ,"서울특별시 강북구 도봉로 143, 지하층 (미아동)"
체력단련장업,휘트니스데이,서울특별시 강북구 미아동 131-30 ,"서울특별시 강북구 도봉로 136-0, 9층 (미아동)"
체력단련장업,다이어트모드 휘트니스,서울특별시 강북구 수유동 279-37,서울특별시 강북구 도봉로 350 (미아동)
체력단련장업,더바른 휘트니스,서울특별시 강북구 미아동 304-8 서광빌딩 ,"서울특별시 강북구 도봉로 177, 서광빌딩 3층 2호 (미아동)"
체력단련장업,레디포짐,서울특별시 강북구 번동 449-1 북한산스카이빌딩,"서울특별시 강북구 도봉로 308, 6층 (번동)"
체력단련장업,Jfit,서울특별시 강북구 미아동 703-5,서울특별시 강북구 삼양로 188 (미아동)
체력단련장업,바디스테이션,서울특별시 강북구 수유동 229-49 경남아너스빌 ,"서울특별시 강북구 노해로8길 22, 경남아너스빌 3층 (수유동)"
체력단련장업,더 퍼스트짐,서울특별시 강북구 번동 416-123 ,"서울특별시 강북구 한천로131길 29, 3층 (번동)"
체력단련장업,알엔엘,서울특별시 강북구 수유동 229-9 ,"서울특별시 강북구 도봉로 331, 4층 (수유동)"
체력단련장업,데일리P.T샵,서울특별시 강북구 미아동 138-15 ,"서울특별시 강북구 도봉로 98, 2층 (미아동)"
체력단련장업,에스핏휘트니스 수유점,서울특별시 강북구 수유동 54-5 수유시장 ,"서울특별시 강북구 도봉로67길 18, 수유시장 3층 (수유동)"
체력단련장업,라인짐2호점,서울특별시 강북구 번동 306-38 동보프라자빌딩 ,"서울특별시 강북구 오현로32길 4-8, 동보프라자빌딩 3층 (번동)"
체력단련장업,웨일 미아점,서울특별시 강북구 미아동 65-5 ,"서울특별시 강북구 솔샘로 330, 4층 (미아동)"
체력단련장업,피트니스 독스 수유점,서울특별시 강북구 수유동 48-1 제네스타워 ,"서울특별시 강북구 덕릉로 82, 4층 (수유동, 제네스타워)"
체력단련장업,Good Fit,서울특별시 강북구 미아동 860-241 ,"서울특별시 강북구 도봉로8길 12, 5층 501호 (미아동)"
체력단련장업,부스터짐,서울특별시 강북구 미아동 682-11 젬스톤프라자 ,"서울특별시 강북구 삼양로 162, 젬스톤프라자 지하1층 (미아동)"
체력단련장업,머슬엑스짐,서울특별시 강북구 수유동 263-7 성은빌딩 ,"서울특별시 강북구 한천로 1127, 성은빌딩 지하1층 (수유동)"
일반음식점,무교동 낙지나라,서울특별시 중랑구 면목로 302 (면목동),서울특별시 중랑구 면목동 626-17 외 1필지 
일반음식점,가고파식당,서울특별시 중랑구 봉우재로 200 (망우동),서울특별시 중랑구 망우동 517-1 
일반음식점,뼈다귀해장국,서울특별시 중랑구 중랑역로 8 (중화동),서울특별시 중랑구 중화동 207-15 
일반음식점,서울식당,서울특별시 중랑구 중랑천로12길 75 (상봉동),서울특별시 중랑구 상봉동 129-73 
일반음식점,무진장한식,서울특별시 중랑구 겸재로18길 3 (면목동),서울특별시 중랑구 면목동 150-7 
일반음식점,BBQ 상봉역점,"서울특별시 중랑구 봉우재로 155, 102호 (상봉동)",서울특별시 중랑구 상봉동 87-27 
일반음식점,남원정통추어탕,서울특별시 중랑구 동일로 778 (중화동),서울특별시 중랑구 중화동 288-27 
일반음식점,청담순대국,서울특별시 중랑구 겸재로 187 (면목동),서울특별시 중랑구 면목동 102-51 
일반음식점,딸기원숯불갈비,서울특별시 중랑구 겸재로 102 (면목동),서울특별시 중랑구 면목동 175-2 
일반음식점,대관령쌈밥,서울특별시 중랑구 용마산로115길 15 (망우동),서울특별시 중랑구 망우동 469-1 
일반음식점,태능설렁탕,서울특별시 중랑구 공릉로 65 (묵동),서울특별시 중랑구 묵동 162-1 
일반음식점,시골식당,"서울특별시 중랑구 면목로 382 (면목동, 休 elysian)",서울특별시 중랑구 면목동 114-6 休 elysian 
일반음식점,오성맥주,서울특별시 중랑구 용마산로 409 (면목동),서울특별시 중랑구 면목동 20-51 
일반음식점,서향,서울특별시 중랑구 봉우재로 97 (상봉동),서울특별시 중랑구 상봉동 125-1 
일반음식점,태능식당,서울특별시 중랑구 중랑역로 143 (묵동),서울특별시 중랑구 묵동 249-119 
일반음식점,빛나는 바다,"서울특별시 중랑구 중랑역로 249, 1층 (묵동)",서울특별시 중랑구 묵동 233-103 
일반음식점,대구참막창,서울특별시 중랑구 사가정로51길 43 (면목동),서울특별시 중랑구 면목동 572-30 
일반음식점,범갈비,서울특별시 중랑구 면목로 396 (면목동),서울특별시 중랑구 면목동 359-25 
일반음식점,더데이(The Day),서울특별시 중랑구 공릉로12가길 1 (묵동),서울특별시 중랑구 묵동 158-3 
일반음식점,아구찜,서울특별시 중랑구 봉우재로14길 9 (면목동),서울특별시 중랑구 면목동 180-50 
일반음식점,홍어본가,"서울특별시 중랑구 동일로 867 (묵동,, 84)","서울특별시 중랑구 묵동 245-3 , 84 "
일반음식점,동강오리,서울특별시 중랑구 용마산로115길 10 (망우동),서울특별시 중랑구 망우동 486-9 
일반음식점,한방닭,서울특별시 중랑구 봉우재로 100 (면목동),서울특별시 중랑구 면목동 132-21 
일반음식점,까망통돼지,서울특별시 중랑구 면목로 488 (상봉동),서울특별시 중랑구 상봉동 102-89 
일반음식점,대흥각,서울특별시 중랑구 동일로139길 7 (중화동),서울특별시 중랑구 중화동 305-66 
일반음식점,화신대반점,서울특별시 중랑구 겸재로10길 15 (면목동),서울특별시 중랑구 면목동 175-103 
일반음식점,짜앤짬,서울특별시 중랑구 겸재로 130 (면목동),서울특별시 중랑구 면목동 149-4 
일반음식점,유천냉면 먹골역점,서울특별시 중랑구 동일로163길 7 (묵동),서울특별시 중랑구 묵동 239-161 
일반음식점,60계치킨 서울 망우점,"서울특별시 중랑구 용마산로 494, 상아빌딩 1층 109호 (망우동)",서울특별시 중랑구 망우동 410-1 상아빌딩 
일반음식점,개성숯불갈비,서울특별시 중랑구 겸재로 261 (망우동),서울특별시 중랑구 망우동 526-2 
일반음식점,늘통큰감자탕,서울특별시 중랑구 겸재로 129 (면목동),서울특별시 중랑구 면목동 148-9 
일반음식점,동서울통닭,서울특별시 중랑구 사가정로 337 (면목동),서울특별시 중랑구 면목동 166-44 
일반음식점,돈주랑 갈매기살 부속전문점,"서울특별시 중랑구 겸재로 185, 1층 (면목동)",서울특별시 중랑구 면목동 102-18 
일반음식점,우인,"서울특별시 중랑구 면목로 213, 1층 (면목동)",서울특별시 중랑구 면목동 398-8 
일반음식점,까치기사식당,서울특별시 중랑구 망우로36길 33 (상봉동),서울특별시 중랑구 상봉동 128-72 
일반음식점,성창식당,서울특별시 중랑구 면목로 421 (면목동),서울특별시 중랑구 면목동 126-6 
일반음식점,일미식당,서울특별시 중랑구 봉우재로49길 21 (상봉동),서울특별시 중랑구 상봉동 86-1 
일반음식점,천외천,서울특별시 중랑구 봉우재로33길 12 (상봉동),서울특별시 중랑구 상봉동 106-25 
일반음식점,한독식당,서울특별시 중랑구 동일로 747 (중화동),서울특별시 중랑구 중화동 296-3 
일반음식점,용마갈비,서울특별시 중랑구 용마산로 498 (망우동),서울특별시 중랑구 망우동 403-69 
일반음식점,전골과삼겹살,서울특별시 중랑구 면목로27길 77 (면목동),서울특별시 중랑구 면목동 382-2 
일반음식점,금천숯불갈비,서울특별시 중랑구 공릉로 80 (묵동),서울특별시 중랑구 묵동 159-27 
일반음식점,장원식당,서울특별시 중랑구 용마산로 557 (신내동),서울특별시 중랑구 신내동 492-24 
일반음식점,면목통닭 동원시장점,서울특별시 중랑구 상봉로11길 6 (면목동),서울특별시 중랑구 면목동 87-14 
일반음식점,주당호프,서울특별시 중랑구 면목로 368 (면목동),서울특별시 중랑구 면목동 412-3 
일반음식점,포싸이,서울특별시 중랑구 겸재로 185 (면목동),서울특별시 중랑구 면목동 102-18 
일반음식점,비어킹,서울특별시 중랑구 중랑역로 265 (묵동),서울특별시 중랑구 묵동 166-14 
일반음식점,참숯흑돼지숯불구이,서울특별시 중랑구 동일로151길 12 (묵동),서울특별시 중랑구 묵동 244-42 
일반음식점,진미파전,서울특별시 중랑구 신내로 10 (신내동),서울특별시 중랑구 신내동 494-58 
일반음식점,1번지통닭,서울특별시 중랑구 용마산로115길 92 (망우동),서울특별시 중랑구 망우동 490-13 
일반음식점,대성식당,서울특별시 중랑구 봉우재로33길 76 (상봉동),서울특별시 중랑구 상봉동 88-76 
일반음식점,작은음악회 7080,"서울특별시 중랑구 동일로 851 (묵동,, 3)","서울특별시 중랑구 묵동 250-2 , 3 "
일반음식점,대가순대국,서울특별시 중랑구 용마산로 538 (망우동),서울특별시 중랑구 망우동 364-1 
일반음식점,김정희김밥전문점,서울특별시 중랑구 면목로 478-1 (상봉동),서울특별시 중랑구 상봉동 107-28 
일반음식점,셀프1000년장어촌,서울특별시 중랑구 용마산로 443 (망우동),서울특별시 중랑구 망우동 531-15 
일반음식점,이가네바지락칼국수,서울특별시 중랑구 중랑역로 73-1 (중화동),서울특별시 중랑구 중화동 312-37 
일반음식점,인쌩맥주 중랑역점,서울특별시 중랑구 중랑천로12길 30 (상봉동),서울특별시 중랑구 상봉동 136-82 
일반음식점,또와 포차,서울특별시 중랑구 망우로66길 75 (망우동),서울특별시 중랑구 망우동 465-46 
일반음식점,돌다리곱창식당,서울특별시 중랑구 용마산로115가길 4 (망우동),서울특별시 중랑구 망우동 494-1 
일반음식점,석화,서울특별시 중랑구 사가정로42길 67 (면목동),서울특별시 중랑구 면목동 673-58 
일반음식점,용천등갈비,서울특별시 중랑구 중랑천로12길 30 (상봉동),서울특별시 중랑구 상봉동 136-82 
일반음식점,태능솔밭갈비,서울특별시 중랑구 동일로99길 13 (면목동),서울특별시 중랑구 면목동 176-21 
일반음식점,흥부족발&고기굼터,"서울특별시 중랑구 사가정로 407, 1층 (면목동)",서울특별시 중랑구 면목동 472-62 
일반음식점,솔밭식당,서울특별시 중랑구 동일로 806 (중화동),서울특별시 중랑구 중화동 285-6 
일반음식점,부산회집,서울특별시 중랑구 면목로91길 38 (상봉동),서울특별시 중랑구 상봉동 112-44 
일반음식점,원조산꽃게탕,서울특별시 중랑구 용마산로115길 79 (망우동),서울특별시 중랑구 망우동 491-32 
일반음식점,교촌치킨 망우본동점,"서울특별시 중랑구 양원역로 78, 베이지하우스 1층 (망우동)",서울특별시 중랑구 망우동 251-2 베이지하우스 
일반음식점,고향밥집,서울특별시 중랑구 망우로48길 14 (상봉동),서울특별시 중랑구 상봉동 102-1 
일반음식점,신흥춘,서울특별시 중랑구 봉우재로43길 31 (상봉동),서울특별시 중랑구 상봉동 87-4 
일반음식점,로렌드치킨,서울특별시 중랑구 용마산로115가길 4 (망우동),서울특별시 중랑구 망우동 494-1 
일반음식점,썬싸인,"서울특별시 중랑구 면목로60길 8 (면목동,1층)",서울특별시 중랑구 면목동 412-8 1층 
일반음식점,사가정식당,서울특별시 중랑구 면목로 318 (면목동),서울특별시 중랑구 면목동 611-3 
일반음식점,맛솜씨,서울특별시 중랑구 망우로68길 5 (망우동),서울특별시 중랑구 망우동 360-7 
일반음식점,바다마차,서울특별시 중랑구 중랑역로 73-1 (중화동),서울특별시 중랑구 중화동 312-37 
일반음식점,박승기 횟집,서울특별시 중랑구 중랑역로 75 (중화동),서울특별시 중랑구 중화동 312-25 
일반음식점,솥뚜껑삼겹살,서울특별시 중랑구 중랑천로12길 54 (상봉동),서울특별시 중랑구 상봉동 130-30 
일반음식점,봉평메밀가,"서울특별시 중랑구 중랑역로 177, 1층 (묵동)",서울특별시 중랑구 묵동 243-68 
일반음식점,미림장충왕족발보쌈,서울특별시 중랑구 중랑천로12길 49 (상봉동),서울특별시 중랑구 상봉동 130-150 
일반음식점,오복,서울특별시 중랑구 면목로 403 (면목동),서울특별시 중랑구 면목동 115-2 
일반음식점,소담밥상,"서울특별시 중랑구 면목로44다길 6-4, 1층 (면목동)",서울특별시 중랑구 면목동 465-30 
일반음식점,족발야시장,서울특별시 중랑구 용마산로115길 85 (망우동),서울특별시 중랑구 망우동 491-50 
일반음식점,한양식당,서울특별시 중랑구 겸재로 225 (면목동),서울특별시 중랑구 면목동 74-42 
일반음식점,왕건고기촌,서울특별시 중랑구 중랑역로 81 (중화동),서울특별시 중랑구 중화동 312-19 
일반음식점,본가장수촌,서울특별시 중랑구 용마공원로3길 14-9 (망우동),서울특별시 중랑구 망우동 381-5 
일반음식점,함평국밥,서울특별시 중랑구 봉우재로33길 73 (상봉동),서울특별시 중랑구 상봉동 90-64 
일반음식점,녹원,서울특별시 중랑구 답십리로 393 (면목동),서울특별시 중랑구 면목동 393-36 
일반음식점,찜집,서울특별시 중랑구 면목로 287 (면목동),서울특별시 중랑구 면목동 632-6 
일반음식점,동국왕족발,서울특별시 중랑구 망우로60길 6 (망우동),서울특별시 중랑구 망우동 568-0 
일반음식점,하나감자탕,서울특별시 중랑구 동일로101길 52 (면목동),서울특별시 중랑구 면목동 181-70 
일반음식점,페리카나,서울특별시 중랑구 겸재로9길 50 (면목동),서울특별시 중랑구 면목동 179-80 
일반음식점,신촌서서갈비,서울특별시 중랑구 공릉로 72 (묵동),서울특별시 중랑구 묵동 158-21 
일반음식점,세븐(seven)돈까스김밥,"서울특별시 중랑구 겸재로 127, 1층 (면목동)",서울특별시 중랑구 면목동 147-24 
일반음식점,투다리,서울특별시 중랑구 면목로 314 (면목동),서울특별시 중랑구 면목동 617-7 
일반음식점,명동사골칼국수&칡냉면,"서울특별시 중랑구 중랑역로 153, 1층 (묵동)",서울특별시 중랑구 묵동 246-7 지상1층 
일반음식점,샬롬,서울특별시 중랑구 봉우재로70길 92 (망우동),서울특별시 중랑구 망우동 530-2 
일반음식점,아바이순대국,서울특별시 중랑구 동일로114길 37 (상봉동),서울특별시 중랑구 상봉동 121-73 
일반음식점,맛포차,서울특별시 중랑구 중랑역로 73 (중화동),서울특별시 중랑구 중화동 312-34 
일반음식점,도리연 닭도리탕,서울특별시 중랑구 중랑천로12길 46 (상봉동),서울특별시 중랑구 상봉동 130-48 
일반음식점,마산아구찜원조꽃게찜전문,서울특별시 중랑구 중랑천로12길 46 (상봉동),서울특별시 중랑구 상봉동 130-48 
일반음식점,할매복집,서울특별시 중랑구 공릉로 82 (묵동),서울특별시 중랑구 묵동 159-28 
일반음식점,꾸미호프,서울특별시 중랑구 용마산로115가길 4 (망우동),서울특별시 중랑구 망우동 494-1 
일반음식점,우리맛집,"서울특별시 중랑구 면목로44길 43, 1층 (면목동)",서울특별시 중랑구 면목동 465-39 
일반음식점,신마루매운갈비찜,"서울특별시 중랑구 사가정로42길 19, 1층 (면목동)",서울특별시 중랑구 면목동 652-35 
일반음식점,미락칡냉면,서울특별시 중랑구 상봉로 67 (면목동),서울특별시 중랑구 면목동 87-32 
일반음식점,성공시대,"서울특별시 중랑구 동일로 633, 1~2층 (면목동)",서울특별시 중랑구 면목동 176-123 
일반음식점,전라도식당,"서울특별시 중랑구 상봉로25길 32, 1층 (상봉동)",서울특별시 중랑구 상봉동 88-12 지상1층 
일반음식점,청평매운탕,서울특별시 중랑구 공릉로 46 (묵동),서울특별시 중랑구 묵동 171-7 
일반음식점,허수아비,서울특별시 중랑구 중랑역로 229 (묵동),서울특별시 중랑구 묵동 235-18 
일반음식점,두채사랑 전주콩나물 국밥,"서울특별시 중랑구 면목로 371, 1층 (면목동)",서울특별시 중랑구 면목동 502-33 
일반음식점,페리카나치킨(묵동점),"서울특별시 중랑구 동일로149길 15, 3동 104호 (묵동, 우성아파트)",서울특별시 중랑구 묵동 250-17 우성아파트 
일반음식점,봉화갈비쌈밥,서울특별시 중랑구 봉화산로20길 35 (중화동),서울특별시 중랑구 중화동 290-18 
일반음식점,페리카나 신내점,서울특별시 중랑구 봉화산로 236 (신내동),서울특별시 중랑구 신내동 393-5 
일반음식점,처갓집양념치킨 신내점,서울특별시 중랑구 봉화산로56길 99 (신내동),서울특별시 중랑구 신내동 472-3 
일반음식점,불타는돼지,서울특별시 중랑구 사가정로 417 (면목동),서울특별시 중랑구 면목동 1110-16 
일반음식점,투다리식당,서울특별시 중랑구 겸재로 178 (면목동),서울특별시 중랑구 면목동 115-1 
일반음식점,포차의신(辛),서울특별시 중랑구 중랑역로 122 (중화동),서울특별시 중랑구 중화동 307-63 
일반음식점,동강장어랑나랑,서울특별시 중랑구 용마산로115길 17 (망우동),서울특별시 중랑구 망우동 469-2 
일반음식점,마루,"서울특별시 중랑구 동일로114길 7 (상봉동,외 1필지)",서울특별시 중랑구 상봉동 120-53 외 1필지 
일반음식점,사또치킨,서울특별시 중랑구 망우로42길 17 (상봉동),서울특별시 중랑구 상봉동 114-62 
일반음식점,김밥터,서울특별시 중랑구 면목로48길 18 (면목동),서울특별시 중랑구 면목동 461-33 
일반음식점,만원의 행복포차,서울특별시 중랑구 봉우재로43길 37 (상봉동),서울특별시 중랑구 상봉동 87-1 
일반음식점,엄마손 식당,서울특별시 중랑구 중랑역로 209 (묵동),서울특별시 중랑구 묵동 237-46 
일반음식점,대박왕곱창,서울특별시 중랑구 답십리로 367 (면목동),서울특별시 중랑구 면목동 383-5 
일반음식점,소문난부대찌개,서울특별시 중랑구 중랑역로 133 (묵동),서울특별시 중랑구 묵동 249-106 
일반음식점,태영식당,서울특별시 중랑구 용마산로118길 72 (망우동),서울특별시 중랑구 망우동 209-1 
일반음식점,묵동왕순대,서울특별시 중랑구 공릉로 64 (묵동),서울특별시 중랑구 묵동 305-1 
일반음식점,섬마을홍어집,서울특별시 중랑구 면목로57길 5 (면목동),서울특별시 중랑구 면목동 501-2 
일반음식점,송이네,서울특별시 중랑구 동일로109길 62 (면목동),서울특별시 중랑구 면목동 185-116 
일반음식점,또와 호프,"서울특별시 중랑구 면목로57길 11, 2동 1층 (면목동)",서울특별시 중랑구 면목동 501-14 지상1층 2동 
일반음식점,향촌칼국수,서울특별시 중랑구 면목로55길 10 (면목동),서울특별시 중랑구 면목동 501-5 
일반음식점,지리산청정흑돼지,서울특별시 중랑구 동일로163길 8 (묵동),서울특별시 중랑구 묵동 238-125 
일반음식점,용마 닭한마리 매운등갈비찜,서울특별시 중랑구 용마산로51길 1 (면목동),서울특별시 중랑구 면목동 1097-15 
일반음식점,충북식당,서울특별시 중랑구 동일로139길 80 (중화동),서울특별시 중랑구 중화동 332-105 
일반음식점,진국감자탕,서울특별시 중랑구 중랑역로 106-1 (중화동),서울특별시 중랑구 중화동 306-53 
일반음식점,농부보쌈,서울특별시 중랑구 용마산로 389 (면목동),서울특별시 중랑구 면목동 50-46 
일반음식점,장수마을,서울특별시 중랑구 면목로 373 (면목동),서울특별시 중랑구 면목동 502-2 
일반음식점,죽변항,서울특별시 중랑구 상봉로 97 (상봉동),서울특별시 중랑구 상봉동 84-57 
일반음식점,동네술집,서울특별시 중랑구 망우로50길 36 (상봉동),서울특별시 중랑구 상봉동 90-50 
일반음식점,황금식당,서울특별시 중랑구 봉우재로 161 (상봉동),서울특별시 중랑구 상봉동 85-26 
일반음식점,상봉회관,서울특별시 중랑구 망우로42길 9 (상봉동),서울특별시 중랑구 상봉동 115-24 
일반음식점,항아리 김치찌개,서울특별시 중랑구 중랑역로50길 4 (묵동),서울특별시 중랑구 묵동 169-20 
일반음식점,중국관,서울특별시 중랑구 용마산로116길 30 (망우동),서울특별시 중랑구 망우동 361-9 
일반음식점,피자드시우 중랑점,"서울특별시 중랑구 봉우재로43길 12, 1층 (상봉동)",서울특별시 중랑구 상봉동 86-62 
일반음식점,쉘부르라이브7090,서울특별시 중랑구 중랑역로 145 (묵동),서울특별시 중랑구 묵동 249-111 
일반음식점,서일기사식당,서울특별시 중랑구 상봉로 13 (면목동),서울특별시 중랑구 면목동 68-1 
일반음식점,은술집,서울특별시 중랑구 면목로56길 10 (면목동),서울특별시 중랑구 면목동 428-22 
일반음식점,바다마을회광장,"서울특별시 중랑구 망우로30길 21, 1층 (상봉동)",서울특별시 중랑구 상봉동 130-89 
일반음식점,가마솥민물매운탕,서울특별시 중랑구 동일로151길 8 (묵동),서울특별시 중랑구 묵동 244-41 
일반음식점,사또양념치킨,서울특별시 중랑구 용마산로 554 (망우동),서울특별시 중랑구 망우동 358-6 
일반음식점,24시돌솥밥기사식당,서울특별시 중랑구 상봉로 8 (면목동),서울특별시 중랑구 면목동 50-6 
일반음식점,이서방양념치킨,서울특별시 중랑구 봉화산로 98 (중화동),서울특별시 중랑구 중화동 10-13 
일반음식점,마미백반,"서울특별시 중랑구 용마산로 396, 1층 (면목동)",서울특별시 중랑구 면목동 51-2 
일반음식점,상봉동페리카나,서울특별시 중랑구 봉우재로 161 (상봉동),서울특별시 중랑구 상봉동 85-26 
일반음식점,도레미,서울특별시 중랑구 용마공원로5길 7 (망우동),서울특별시 중랑구 망우동 405-23 
일반음식점,망우동황금족발,서울특별시 중랑구 봉우재로57길 60 (망우동),서울특별시 중랑구 망우동 509-4 
일반음식점,멕시칸치킨,서울특별시 중랑구 공릉로2길 7 (묵동),서울특별시 중랑구 묵동 174-4 
